file_tag,test_no,sample,bends,primary_position,frequency,temperature,material,stress_indicator,pressure,bend_to_break,break_location,prim_sec_amp,prim_sec_phi,prim_rec_amp,prim_rec_phi,sec_rec_amp,sec_rec_phi,sec_harm_db,rec_harm_db
20180418-0086,86,TU20180418-02,300.0,12.0,100,27.6,SS_304,M,2510,365.0,7.5,0.0015027570758653595,0.27363460175545007,0.0005512962796327039,-2.81046598943895,0.36685655219107255,-3.0841005911944004,-32.88268871309937,-22.7844652459121
20180418-0086,86,TU20180418-02,300.0,12.0,100,27.6,SS_304,M,2510,365.0,7.5,0.0015026725110211937,0.2734860897583034,0.0005511934993507644,-2.8106987991768912,0.36680879919483017,-3.084184888935195,-32.88920597671971,-22.78336550949509
20180418-0087,87,TU20180418-02,300.0,9.0,100,27.6,SS_304,M,2510,365.0,7.5,0.0017394471387671116,0.2875817182185831,0.0003265771044227964,-2.8481042673334316,0.18774764529738355,-3.1356859855520143,-36.48393142820365,-26.883297036878187
20180418-0087,87,TU20180418-02,300.0,9.0,100,27.6,SS_304,M,2510,365.0,7.5,0.0017392474315470088,0.28737528101240045,0.000326504891358188,-2.84837352271686,0.18772768350031227,-3.1357488037292605,-36.484234948950984,-26.863531324924338
20180418-0088,88,TU20180418-02,300.0,7.5,100,27.6,SS_304,M,2510,365.0,7.5,0.0016599251039343614,0.27724157367755803,0.00022884484408935318,-2.8838055635967783,0.137864560001499,3.1221381699052504,-36.063624945244904,-28.85794568685054
20180418-0088,88,TU20180418-02,300.0,7.5,100,27.6,SS_304,M,2510,365.0,7.5,0.001659668407866851,0.2770914675052676,0.00022885969633550676,-2.883902574771922,0.13789483203434413,3.122191264902397,-36.058442134518074,-28.833657828327222
20180418-0089,89,TU20180418-02,300.0,6.0,100,27.6,SS_304,M,2510,365.0,7.5,0.0014151500404109823,0.24739221611633175,0.0001660183465578729,-2.948129919607325,0.11731501382684376,3.0876631714559295,-33.61680874876234,-34.50729379956117
20180418-0089,89,TU20180418-02,300.0,6.0,100,27.6,SS_304,M,2510,365.0,7.5,0.0014152346909809487,0.24759034650906558,0.00016604008382730984,-2.948169079882775,0.11732335624999528,3.087425880787746,-33.59779260197377,-34.55214964852342
20180418-0090,90,TU20180418-02,300.0,4.5,100,27.6,SS_304,M,2510,365.0,7.5,0.001012470180577514,0.17900068250268403,0.00011681434303050045,-3.033121467331245,0.11537558860634237,3.0710631573456575,-32.19992858840377,-37.2391497234645
20180418-0090,90,TU20180418-02,300.0,4.5,100,27.6,SS_304,M,2510,365.0,7.5,0.0010123571638623327,0.17904679045447142,0.00011680334046864793,-3.033183134127673,0.11537760055257695,3.070955382597442,-32.197650043809105,-37.290880695337655
20180418-0091,91,TU20180418-02,315.0,12.0,100,24.5,SS_304,M,2510,365.0,7.5,0.0015051500008905832,0.2690513354766139,0.0005344772568671637,-2.8343413715483807,0.3550989978081377,-3.1033927070249945,-33.40432533316492,-24.71312672228178
20180418-0091,91,TU20180418-02,315.0,12.0,100,24.5,SS_304,M,2510,365.0,7.5,0.0015052491009182,0.2691650427210487,0.0005344675096986763,-2.834280748091589,0.35506914395275296,-3.103445790812638,-33.433302010069696,-24.707605392056898
20180418-0092,92,TU20180418-02,315.0,9.0,100,24.5,SS_304,M,2510,365.0,7.5,0.001709168235829611,0.27606082300103607,0.00031518275901453363,-2.8698837933101435,0.18440710072144972,3.1372406908684067,-36.26136730113791,-28.775997916872242
20180418-0092,92,TU20180418-02,315.0,9.0,100,24.5,SS_304,M,2510,365.0,7.5,0.0017091369764566885,0.27604325222580123,0.0003152023190681261,-2.870134706218502,0.18442191785095557,3.137007348735283,-36.309029632264824,-28.793363534190316
20180418-0093,93,TU20180418-02,315.0,7.5,100,24.5,SS_304,M,2510,365.0,7.5,0.0016379681480747144,0.26683620128892666,0.0002311927224774325,-2.899808569162238,0.14114604288806162,3.116540536728422,-36.18914226969367,-30.45802743564724
20180418-0093,93,TU20180418-02,315.0,7.5,100,24.5,SS_304,M,2510,365.0,7.5,0.00163763727656848,0.2667179929111349,0.00023115033681747173,-2.8998575054243676,0.1411486781137678,3.116609808844084,-36.173366641483746,-30.454148341056346
20180418-0094,94,TU20180418-02,315.0,6.0,100,24.5,SS_304,M,2510,365.0,7.5,0.0014081375265361375,0.24123765029673952,0.0001660108012614114,-2.9542343629955607,0.11789388332670858,3.087713293887286,-34.0843572825236,-35.37503214045843
